file_path,title,document_type,business_unit,owner,status,last_reviewed,next_review_due,authoritative_source
01-business-units/bakery-operations/policies/allergen-and-charm-disclosure-policy.md,Allergen and Charm Disclosure Policy,policy,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/policies/refund-and-remake-policy.md,Refund and Remake Policy,policy,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/policies/restricted-ingredient-policy.md,Restricted Ingredient Policy,policy,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/policies/customer-incident-escalation-policy.md,Customer Incident Escalation Policy,policy,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/job-aids/morning-opening-checklist.md,Morning Opening Checklist,job-aid,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/job-aids/enchanted-oven-temperature-guide.md,Enchanted Oven Temperature Guide,job-aid,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/job-aids/ingredient-substitution-table.md,Ingredient Substitution Table,job-aid,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/job-aids/customer-apology-scripts.md,Customer Apology Scripts,job-aid,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/job-aids/pastry-behavior-severity-table.md,Pastry Behavior Severity Table,job-aid,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/job-aids/cleaning-and-reset-checklist.md,Cleaning and Reset Checklist,job-aid,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/systems/crumbkeeper-pos-guide.md,CrumbKeeper POS Guide,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/systems/pantry-inventory-system-guide.md,PantryLedger Inventory System Guide,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/systems/order-oracle-ticketing-guide.md,Order Oracle Ticketing Guide,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/systems/common-system-errors.md,Common System Errors,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
01-business-units/bakery-operations/faqs/bakery-operations-faq.md,Bakery Operations FAQ,faq,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
02-shared-knowledge/_index.md,Shared Knowledge Content Index,overview,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
02-shared-knowledge/customer-service/guest-service-principles.md,Guest Service Principles,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
02-shared-knowledge/safety/magical-workplace-safety-basics.md,Magical Workplace Safety Basics,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
02-shared-knowledge/terminology/bakery-and-magic-terms.md,Bakery and Magic Terms Reference,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
02-shared-knowledge/enterprise-policies/escalation-principles.md,Enterprise Escalation Principles,policy,All,Bakery Operations Enablement,active,2026-05-01,2027-05-01,true
03-training-content/onboarding/new-bakery-associate-onboarding-path.md,New Bakery Associate Onboarding Path,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/role-based-training/front-counter-training-guide.md,Front Counter Training Guide,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/role-based-training/apprentice-baker-training-guide.md,Apprentice Baker Training Guide,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/scenario-based-examples/scenario-clean-morning-open.md,Scenario: Clean Morning Open,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/scenario-based-examples/scenario-singing-cake-complaint.md,Scenario: Singing Cake Complaint,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/scenario-based-examples/scenario-dragon-pepper-allergy-question.md,Scenario: Dragon-Pepper Allergy Question,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/scenario-based-examples/scenario-runaway-moon-glaze.md,Scenario: Runaway Moon-Glaze Incident,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
03-training-content/assessments/bakery-operations-knowledge-check.md,Bakery Operations Knowledge Check,training,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-11-01,false
04-reference/forms/custom-cake-order-form-fields.md,Custom Cake Order Form Fields,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
04-reference/code-lists/refund-reason-codes.md,Refund Reason Codes,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
04-reference/status-definitions/order-status-definitions.md,Order Status Definitions,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
04-reference/decision-tables/customer-complaint-routing-table.md,Customer Complaint Routing Table,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
04-reference/decision-tables/pastry-behavior-response-table.md,Pastry Behavior Response Table,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
04-reference/field-definitions/crumbkeeper-field-definitions.md,CrumbKeeper Field Definitions,reference,Bakery Operations,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
05-archive/deprecated/old-singing-cake-remake-process.md,[DEPRECATED] Old Singing Cake Remake Process,procedure,Bakery Operations,Bakery Operations Enablement,deprecated,2025-08-01,none,false
05-archive/superseded/prior-oven-safety-checklist.md,[SUPERSEDED] Prior Enchanted Oven Safety Checklist,job-aid,Bakery Operations,Bakery Operations Enablement,superseded,2025-06-01,none,false
90-templates/procedure-template.md,Procedure Template,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
90-templates/policy-template.md,Policy Template,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
90-templates/faq-template.md,FAQ Template,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
90-templates/job-aid-template.md,Job Aid Template,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
90-templates/training-scenario-template.md,Training Scenario Template,reference,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
99-admin/content-inventory.csv,Content Inventory,admin,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
99-admin/document-owners.md,Document Owners,admin,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
99-admin/review-calendar.md,Review Calendar,admin,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
99-admin/source-of-truth-map.md,Source of Truth Map,admin,All,Bakery Operations Enablement,active,2026-05-01,2026-08-01,true
